idx,cap,R0_mOhm,rmse,rise,railed,pass_,c1,c2,R_end_mOhm
121,1.773037755078937,135.42669705579743,0.22567930835286168,14.959371983891572,False,True,-1.190266676260092,2.1307550952291545,262.7939372560066
125,1.7678721106662054,143.06556016436159,0.21499277299274785,14.728714061595383,False,True,-1.1382718303840684,2.023098402354759,269.6537693316602
129,1.7623150704093087,145.33325831675444,0.22174786914815123,14.616668328231015,False,True,-1.11510257115153,1.9739217327384269,270.14824537504137
133,1.7676172924938447,141.70460117766768,0.23818367674856214,14.51083922740412,False,True,-1.2058708183896536,2.1160899911877054,270.6868460432822
135,1.762668359743147,140.5894414629037,0.23332238246727915,14.441304705946948,False,True,-1.2508262379334365,2.1343767968730307,264.8073210484576
139,1.7517304870664143,135.33101876693422,0.236817190169846,14.766334581785031,False,True,-1.2566090930664844,2.191055561722609,261.7906113533316
143,1.7418496047960008,134.69893239269337,0.23024085260093285,14.805312964989355,False,True,-1.2681812685214158,2.2055231028317963,260.9578767613105
147,1.7360913511847138,135.17431959904073,0.2380997285165281,14.965001236699607,False,True,-1.279613778229186,2.2341355456141407,264.2011500477758
149,1.7936240148573608,173.7843520757885,0.2794088977017566,14.06480804094133,False,True,-0.988803489397797,1.6872786291656026,295.16840168138236
153,1.7831890223273275,163.02247888574578,0.25400251843109384,14.18488470398654,False,True,-1.093818400198665,1.847398148697357,285.87291752409936
157,1.7673642076278957,153.42533512712396,0.2554777289707219,14.346685208224358,False,True,-1.1673172968654133,1.9716506673168934,276.8304520425714
161,1.7570177850353066,147.95938342336567,0.25575460672337275,14.589947971667755,False,True,-1.2056674957864255,2.063874791540555,274.93920575258073
165,1.7468706179837907,143.89701403213985,0.2532952914284405,14.588353315265067,False,True,-1.2244469803723617,2.1138944236145574,271.88584525321295
169,1.7417172507457144,144.28427437273464,0.2583016557695517,14.90069123801078,False,True,-1.2228495289327215,2.1334177451708687,275.664948719531
173,1.7364225056478186,148.8791850320821,0.26377793256811216,14.896646278891978,False,True,-1.1802647432357984,2.076778697717314,282.3514519451793
177,1.7263217239235826,146.3656320005923,0.2609745722970099,14.840646651769987,False,True,-1.2308150195415557,2.128332768772827,277.7313845985765
181,1.7158065389330133,145.65903466511534,0.2600587604061271,14.867707224154742,False,True,-1.266455354035445,2.1754239957119066,278.0585295525699
185,1.710533351135192,144.35799865973343,0.26705340094891533,14.988636771073914,False,True,-1.2690156836062052,2.194619553764529,277.9763209074928
189,1.706014499648521,146.50983918319105,0.27676654430976083,15.183155569322025,False,True,-1.2201520668755592,2.153449400085275,283.2470813818476
193,1.7003110272642588,153.33076831952877,0.2775897169728612,14.884493588522957,False,True,-1.228854521340265,2.092420549283141,285.74201087865356
197,1.6945798601797895,150.95215048590555,0.27220989437519205,15.026593610097109,False,True,-1.2617573920558303,2.160322812081901,286.5925329911119
201,1.6849029086609286,149.36314381825082,0.2665974411963538,14.958476185200652,False,True,-1.2573370135013124,2.166107664873327,285.0999853169345
205,1.6744741591159717,147.83988827237542,0.269024315927213,15.110608773944989,False,True,-1.2974607986470426,2.222909048051398,284.6580540661808
209,1.6745692479879102,149.8664463777338,0.278720583544014,15.315496776048121,False,True,-1.2527512013434416,2.1975894776736107,291.46600125299955
213,1.663716375981405,149.01109021964822,0.270016190675953,14.67796740539518,False,True,-1.3078648898591958,2.2415314705533316,288.1377653105326
215,1.659013868748246,153.45771016229807,0.27441531683293635,15.115677856881007,False,True,-1.257513730275982,2.171323480293715,293.6888619240014
219,1.6538540573335014,152.06356221290693,0.2815695077298135,15.375632472490565,False,True,-1.2814450307294498,2.2278604200900403,295.9788576521936
223,1.642653782130131,150.5186904178871,0.27358637218108334,15.35457128944563,False,True,-1.2802853121870643,2.235028288014766,294.22535282514923
227,1.6378578430223698,151.06837919185065,0.27908234498047474,15.462157921153619,False,True,-1.293210263104325,2.2579193085044493,296.80541107216493
231,1.6327350407099108,152.44691831244447,0.27985069303468507,15.475354015335483,False,True,-1.2963948127604707,2.2585954753258712,299.131444118732
235,1.6277528915533617,152.96812263112992,0.2848010801010915,15.519413924501066,False,True,-1.2939122779028491,2.2611460136862642,300.92405133941327
239,1.622125485521159,153.28737028445022,0.28914646381814263,15.643852566505302,False,True,-1.3065624258050406,2.283000570209708,302.96300568566994
243,1.6113256603765849,152.9048209876288,0.2743417906932177,15.527397208594664,False,True,-1.2966071566691368,2.2685711736346104,301.5228050081511
247,1.6065631397488385,153.77589952765638,0.2808736390230592,15.656774387253904,False,True,-1.3120272368687504,2.2921743890206328,304.4989095192828
251,1.6015142233917594,154.1799880187358,0.28611506029671063,15.712680942665088,False,True,-1.3260324258281309,2.313774763273365,306.47008977164006
255,1.590369231400328,153.45125702316105,0.27318659970068687,15.632547898674716,False,True,-1.3093196478521152,2.2927189923359195,304.35512258995334
259,1.5857889968242211,153.24142021800674,0.2818270709065729,15.758326936067931,False,True,-1.3291183863013862,2.3310303472613434,306.7758320489187
263,1.5849430707374117,151.37017302948533,0.27402482112128823,15.528747201881458,False,True,-1.3570555032141598,2.369721375363099,304.6575813177249
265,1.5955263892495937,159.44085307394144,0.2844093274206586,15.366072616583722,False,True,-1.2824913524250479,2.2063131868015042,306.73579443525705
269,1.5747301747801037,152.12918564770976,0.267815370902984,15.59463590466521,False,True,-1.3429121483917834,2.341070972306022,303.9782746768587
273,1.5649019950937946,148.63496930810552,0.26544400986108385,15.856810605948965,False,True,-1.3686193907786075,2.410680129271593,303.52163519119216
277,1.5597659473370362,150.5598113480874,0.2703883703960327,15.965795188082268,False,True,-1.3605231244780256,2.4088179839172734,308.3908876224304
281,1.5594815668184234,158.03899596264412,0.28957863770603404,16.051299490293786,False,True,-1.3454360445440028,2.3589310551473717,318.21072985154984
285,1.55468935359061,160.90133840695057,0.2907250758975557,15.810713669279608,False,True,-1.302694821186733,2.284889156950584,318.93772160707994
289,1.5488741079890418,159.8861271836065,0.2941214908505563,15.904884716256163,False,True,-1.3320437913419196,2.3362609772949,320.44652389684813
293,1.538236598942558,157.48010635507035,0.28101915107537745,15.87460524758319,False,True,-1.348575420562155,2.3571910151631155,316.3169974642121
297,1.527914258251028,153.81670831234567,0.26685966722499765,15.95152377176504,False,True,-1.3612128809478525,2.40322944851574,314.0962667425671
301,1.5285252629756445,157.5581858764492,0.2886058487843698,16.213424307696982,False,True,-1.3353107710760468,2.3783940294956176,321.90449179113216
305,1.522647325284378,162.56610878959302,0.2841383869106544,16.00339816781991,False,True,-1.3100788728954043,2.3096200923593697,325.05763541265446
309,1.5174859938489869,162.80317749979793,0.2831901334388681,15.997992661194758,False,True,-1.2965153659383877,2.3014263287164978,326.4058753444554
312,1.605818899130659,158.3676867642057,0.28648889309892245,15.977345940157363,False,True,-1.3129311870252847,2.30786106759104,315.9324304419918
315,1.5638491446744425,167.626207524644,0.3096215026082234,15.795681431404432,False,False,-1.2803370607410551,2.208567576267577,323.22196855100003
319,1.5480915247767786,167.3298017766138,0.30579099186914094,15.833474434652146,False,False,-1.286973616678749,2.2394712298983386,326.7110385893455
323,1.5323755631868592,164.20124410864605,0.2845983636110804,15.776074449856253,False,True,-1.2802211097727434,2.2504617724741043,323.5159680090067
327,1.5269528268489705,163.35216407194903,0.29251985179841394,16.026041378501418,False,True,-1.3324083102499413,2.328021372453293,325.98771236116653
331,1.5169573017136326,161.70232576946532,0.2832876694530714,16.035573712016458,False,True,-1.3182118800975169,2.3268455279904856,324.80073248309833
335,1.5118975960142693,162.81361926249602,0.2893476703689773,16.11145758817611,False,True,-1.3234714316035587,2.3396755599615626,328.2654913099527
339,1.5065638960681105,163.82687705766995,0.28839435196182306,16.108291919629153,False,True,-1.32591902231807,2.335694513832159,329.2552423617969
343,1.5015453526671363,164.5804413868361,0.29247562124004234,16.17334098190173,False,True,-1.331975764827839,2.3466409476569043,331.5744850366985
347,1.4908444050400238,164.08416500945918,0.2780982917652415,16.085552784816116,False,True,-1.3011762931496735,2.309427928616349,329.5222927344302
351,1.485868384561201,164.9243586721847,0.27900424515454636,16.112565173909843,False,True,-1.302547066913353,2.3151670883617275,331.9300662881718
355,1.480413677976106,165.60137077603795,0.2796020363729825,16.170034126178848,False,True,-1.3120171615050165,2.326853140761685,333.659600053785
359,1.4752095869031632,165.58140111695545,0.2777871347834747,16.19103513083371,False,True,-1.3058904883079312,2.3225667647083923,333.9240834457128
