idx,cap,R_mOhm,h,R_over_h,rmse,rise,tau_frac,railed,pass_
133,1.7676172924938447,75.49714465772215,9.001535137605638,8.387141026903107,0.8179771813644456,14.51083922740412,1.2101667475980915,False,False
135,1.762668359743147,75.8766968936097,9.458836427147752,8.021779156243408,0.8107258087804105,14.441304705946948,1.2657941024628152,False,False
139,1.7517304870664143,75.35632250157983,9.384628139163267,8.029761156663005,0.8058209097766309,14.766334581785031,1.2486947320527102,False,False
143,1.7418496047960008,75.55191271290988,9.430187169820071,8.011708712919578,0.8004912373672323,14.805312964989355,1.2479578215172702,False,False
147,1.7360913511847138,75.636986265254,9.262356962128278,8.166062544827073,0.8110698264393199,14.965001236699607,1.2218886334973829,False,False
149,1.7936240148573608,82.24757598762942,8.78223988345955,9.365216286397997,0.829576356440169,14.06480804094133,1.1812332642797652,False,False
153,1.7831890223273275,79.4501618898454,8.83730229408252,8.990318453069715,0.8266850038876562,14.18488470398654,1.1887567700772097,False,False
157,1.7673642076278957,78.21152629027986,9.143427525086993,8.55385205117987,0.8302594304561449,14.346685208224358,1.2197070022161292,False,False
161,1.7570177850353066,76.85366035988424,8.942705475221663,8.59400553588949,0.8327726831679062,14.589947971667755,1.186421689629708,False,False
165,1.7468706179837907,76.06655832515574,8.86195301298454,8.583498266544966,0.8251082131660479,14.588353315265067,1.1726870247131715,False,False
169,1.7417172507457144,76.15242065974192,8.640777679698987,8.81314431207479,0.8297277882793356,14.90069123801078,1.140113433308084,False,False
173,1.7364225056478186,77.06883481418143,8.325641876582472,9.256803974592385,0.8266170176250038,14.896646278891978,1.0986796223681972,False,False
177,1.7263217239235826,76.56088352887967,8.547097350252976,8.957530304321809,0.8215328432438043,14.840646651769987,1.1249686079030303,False,False
181,1.7158065389330133,76.20235315271165,8.432367798837971,9.036886787980569,0.8245875034347286,14.867707224154742,1.1068012527163815,False,False
185,1.710533351135192,76.0845483952209,8.344396540653408,9.118040834294185,0.8259661084944345,14.988636771073914,1.0919413255105406,False,False
189,1.706014499648521,76.98548101091474,8.068637618256416,9.541323412111652,0.8202212820466115,15.183155569322025,1.0563036562592867,False,False
193,1.7003110272642588,78.56136179442096,8.451178056648812,9.295906590515417,0.8244205181444021,14.884493588522957,1.1029586384397512,False,False
197,1.6945798601797895,77.4684637582435,8.171311030145965,9.480542776115533,0.8239251261038113,15.026593610097109,1.066325054959834,False,False
201,1.6849029086609286,77.47313945575964,8.167053136440918,9.486057965030124,0.8150241533558947,14.958476185200652,1.060056768572494,False,False
205,1.6744741591159717,77.28606950361625,8.184964241326021,9.442444368100912,0.81733963329208,15.110608773944989,1.062629600587853,False,False
209,1.6745692479879102,77.67287504529985,7.742572298758926,10.031921181769295,0.8188433207228117,15.315496776048121,1.002179162816708,False,False
