idx,cap,R0_mOhm,beta,h,R_end_mOhm,rmse,rise,tau_frac,railed,pass_
117,1.7730337158018288,121.10412066762358,2.814290819675582,75.82463998230305,461.92633568740047,0.6938983541181225,14.518922832738554,10.205736133763507,False,False
121,1.773037755078937,129.9808600547353,2.7687776900687275,78.68724830146914,489.8689655102319,0.7150494525295078,14.959371983891572,10.55899574997413,False,False
125,1.7678721106662054,146.39642640460121,2.3259395004089294,75.30058159515434,486.90565729777194,0.7351983646240138,14.728714061595383,10.106536774479753,False,False
129,1.7623150704093087,153.61176873667546,2.200566661364444,75.47720828874253,491.6447058118284,0.7372156585271301,14.616668328231015,10.099698253433925,False,False
133,1.7676172924938447,155.06949502573107,2.554053472352304,86.87391803888792,551.1252772521179,0.7348840996689188,14.51083922740412,11.679333051205388,False,False
135,1.762668359743147,140.094531712467,2.4479629958982154,77.65558318939479,483.04076127227523,0.7598636122946921,14.441304705946948,10.391973683182398,False,False
139,1.7517304870664143,124.90994643780265,2.8142210856101584,77.63318639407413,476.4341515055023,0.7468190749259266,14.766334581785031,10.32967416984832,False,False
143,1.7418496047960008,121.87960242381997,2.9029144399938867,77.86818629974078,475.68566024064086,0.7404363892301696,14.805312964989355,10.304802056434642,False,False
147,1.7360913511847138,120.76821002680285,2.955740989289634,77.65331938071871,477.7277586061634,0.7561297875226313,14.965001236699607,10.244013342673,False,False
149,1.7936240148573608,279.8665721499634,1.5395835301072567,97.83638491755796,710.7445372596213,0.7426890331167446,14.06480804094133,13.159238856496998,False,False
153,1.7831890223273275,218.20820209976918,1.7455335898180462,86.7122264691376,599.097948438721,0.7725507402752116,14.18488470398654,11.664164338101008,False,False
157,1.7673642076278957,187.13348526759637,2.0569879504041477,86.87163230874945,572.0648095801743,0.7575231504436938,14.346685208224358,11.588426542476315,False,False
161,1.7570177850353066,168.09108460092818,2.335544229419828,86.6499615297395,560.6752472575462,0.7637564229347918,14.589947971667755,11.495782126483881,False,False
165,1.7468706179837907,150.56053542616448,2.4937717889141067,82.39559618744163,526.0241511957364,0.7711590466231498,14.588353315265067,10.90326775609676,False,False
169,1.7417172507457144,149.64153196044384,2.5362550718841606,82.01914739239287,529.1706263596352,0.7962030473566245,14.90069123801078,10.822073567549582,False,False
173,1.7364225056478186,156.07181068242238,2.3343970142533483,78.02290438342156,520.405379548583,0.826957284457054,14.896646278891978,10.296164115004546,False,False
